Count of BreweryType,Column Labels,,,,,,,,,
Row Labels,bar,brewpub,closed,contract,large,micro,planning,proprietor,regional,Grand Total
17055,,1,,,,,,,,1
17073,,2,,,,,,,,2
17077,,,,,,1,,,,1
17083,,,,,,1,,,,1
17089,,3,,,,1,,,,4
17091,,2,,,,,,,,2
17097,,3,,,,5,,1,,9
17099,,1,,,,,,,,1
17111,,,,,,2,,,,2
17113,,1,,,,2,,,,3
17115,,,,,,2,,,,2
17119,,,,,,1,,,,1
17127,,1,,,,,,,,1
17133,,1,,,,1,,,,2
17143,,2,,,,,,,,2
17145,,1,,,,,,,,1
17157,,,,,,1,,,,1
17161,,2,,,,3,,,,5
17163,,1,,,,2,,,,3
17167,,1,,,,4,,,,5
17177,,,,,,1,,,,1
17179,,1,,,,,,,,1
17187,,,,,,1,,,,1
17197,,3,,,,6,,,,9
17201,,4,,,,2,,,,6
18003,,1,,,,3,,,,4
18005,,1,,,,,,,,1
18011,,1,,,,,,,,1
18019,,1,,,,,,,,1
18029,,,,,,1,,,,1
18035,,,,,,1,,,,1
18037,,2,,,,1,,,,3
18039,,2,,,,1,,,,3
18043,,2,,,,,,,,2
18057,,4,,,,2,,,,6
18059,,,,,,2,,,,2
18061,,1,,,,,,,,1
18063,,1,,,,1,,,,2
18067,,1,,,,,,,,1
18081,,,,,,1,,,,1
18089,,6,,,,4,,,,10
18091,,2,,,,2,,,,4
18095,,,,,,1,,,,1
18097,,8,,,,7,,,1,16
18105,,3,,,,1,,,1,5
18107,,,,,,1,,,,1
18127,,1,,,,2,,,,3
18129,,,,,,1,,,,1
18133,,1,,,,,,,,1
18137,,,,1,,,,,,1
18141,,3,,,,,,,,3
18149,,,,,,1,,,,1
18151,,1,,,,,,,,1
18157,,1,,,,2,,,,3
18161,,1,,,,,,,,1
18163,,1,,,,1,,,,2
18167,,1,,,,,,,,1
18177,,1,,,,1,,,,2
19013,,3,,,,1,,,,4
19015,,,,,,1,,,,1
19027,,,,,,1,,,,1
19033,,,,,,2,,,,2
19043,,,,,,1,,,,1
19049,,1,,,,,,,,1
19055,,,,,,1,,,,1
19057,,2,,,,,,,,2
19059,,,,,,1,,,,1
19061,,2,,,,1,,,,3
19069,,1,,,,,,,,1
19079,,,,,,1,,,,1
19091,,,,,,1,,,,1
19095,,1,,,,,,,,1
19103,,3,,,,2,,,,5
19111,,2,,,,,,,,2
19113,,3,,,,3,,,,6
19125,,,,,,1,,,,1
19127,,,,,,1,,,,1
19129,,,,,,1,,,,1
19131,,,,,,1,,,,1
19135,,1,,,,,,,,1
19139,,,,1,,1,,,,2
19143,,,,,,1,,,,1
19145,,1,,,,,,,,1
19153,,2,,,,8,,,,10
19163,,2,,,,3,,,,5
19169,,1,,,,1,,,,2
19179,,,,,,1,,,,1
19181,,,,,,1,,,,1
19183,,1,,,,,,,,1
19187,,,,,,1,,,,1
19189,,,,,,1,,,,1
19191,,,,,,2,,,,2
19193,,,,,,2,,,,2
19195,,1,,,,,,,,1
19197,,,,,,1,,,,1
20009,,1,,,,,,,,1
20011,,,,,,1,,,,1
20015,,,,,,1,,,,1
20045,,3,,,,1,,,,4
20051,,1,,,,,,,,1
20057,,1,,,,,,,,1
20091,,2,,,,,,,,2
20103,,1,,,,,,,,1
20111,,,,,,1,,,,1
20155,,,,,,1,,,,1
20161,,1,,,,1,,,1,3
20169,,1,,,,,,,,1
20173,,4,,,,4,,,,8
20177,,1,,,,2,,,,3
20201,,,,,,1,,,,1
20209,,1,,,,,,,,1
21015,,,,,,1,,,,1
21017,,,,,,1,,,,1
21021,,,,,,1,,,,1
21037,,1,,,,3,,,,4
21047,,,,,,1,,,,1
21067,,3,,,,7,,,1,11
21097,,,,,,1,,,,1
21111,,5,,1,,12,,,,18
21117,,,,,,2,,,,2
21145,,1,,,,1,,,,2
21151,,,,,,1,,,,1
21167,,,,,,1,,,,1
21195,,,,,,1,,,,1
21199,,,,,,2,,,,2
21227,,1,,,,,,,,1
22009,,1,,,,,,,,1
22015,,,,,,1,,,,1
22017,,,,,,1,,,,1
22019,,,,,,1,,,,1
22033,,,,,,1,,,,1
22055,,,,,,2,,,,2
22061,,1,,,,,,,,1
22071,,2,,,,8,,,,10
22073,,,,,,2,,,,2
22079,,,,,,1,,,,1
22103,,1,,,,1,,,,2
22105,,,,,,1,,,,1
22109,,1,,,,,,,,1
23001,,1,,,,2,,,1,4
23003,,1,,,,,,,,1
23005,,4,,,,15,,1,2,22
23009,,2,,,,3,,,,5
23011,,3,,,,,,,,3
23013,,1,,,,4,,,,5
23015,,,,,,2,,,,2
23017,,2,,,,,,,,2
23019,,4,,,,4,,,,8
23023,,1,,,,,,,,1
23025,,1,,,,,,,,1
23027,,1,,1,,1,,,,3
23029,,1,,,,1,,,,2
23031,,1,,,,6,,,,7
24003,,1,,,,2,,,,3
24005,,,,,1,,,,,1
24009,,1,,,,,,,,1
24011,,1,,,,1,,,,2
24013,,1,,,,1,,,,2
24019,,,,,,,,1,,1
24021,,2,,,,4,,,1,7
24025,,,,,,3,,,,3
24027,,2,,,,1,,,,3
24031,,3,,,,3,,,,6
24033,,,,,,2,,,,2
24035,,,,,,1,,,,1
24041,,,,,,1,,,,1
24045,,1,,,,1,,,1,3
24047,,2,,,,1,,,,3
24510,,5,,1,,3,,,,9
25001,,,,,,3,,,,3
25003,,1,,,,2,,,,3
25005,,2,,,,3,,,,5
25007,,2,,,,,,,,2
25009,,5,,,,7,,,,12
25011,,1,,,,3,,,1,5
25013,,,,1,,4,,,,5
25015,,2,,3,,4,,,,9
25017,,4,,1,,14,,,3,22
25019,,,,,,1,,,,1
25021,,,,1,,2,,,1,4
25023,,,,,,5,,1,,6
25025,,5,,1,,3,,,1,10
25027,,4,,,,7,,,2,13
26003,,,,,,1,,,,1
26005,,4,,,,1,,,,5
26007,,1,,,,,,,,1
26009,,1,,,,,,,,1
26015,,2,,,,,,,,2
26019,,1,,,,1,,,,2
26021,,4,,1,,9,,,,14
26025,,2,,,,2,,,,4
26029,,1,,,,1,,,,2
26031,,,,,,1,,,,1
26033,,2,,,,1,,,,3
26035,,1,,,,,,,,1
26037,,1,,,,,,,,1
26039,,1,,,,2,,,,3
26041,,1,,,,1,,,,2
26043,,1,,,,,,,,1
26045,,2,,,,3,,,,5
26047,,2,,,,,,,,2
26049,,4,,,,2,,,,6
26053,,,,,,1,,,,1
26055,,4,,,,4,,,,8
26057,,1,,,,,,,,1
26059,,1,,,,,,,,1
26061,,2,,,,2,,,,4
26065,,3,,,,3,,,,6
26067,,2,,,,1,,,,3
26069,,1,,,,,,,,1
26073,,2,,,,1,,,,3
26075,,2,,,,2,,,,4
26077,,9,,,,6,,,,15
26081,,21,,,,6,,,2,29
26087,,1,,,,,,,,1
26089,,3,,,,,,,,3
26091,,2,,,,,,,,2
26093,,4,,,,1,,,,5
26097,,1,,,,,,,,1
26099,,5,,,,6,,,,11
26101,,1,,,,,,,,1
26103,,2,,,,5,,,,7
26105,,2,,,,,,,,2
26107,,2,,,,1,,,,3
26111,,1,,,,,,,,1
26115,,1,,,,,,,,1
26121,,,,,,2,,,,2
26123,,2,,,,,,,,2
26125,,13,,1,,11,,,,25
26129,,1,,,,,,,,1
26133,,1,,,,,,,,1
26139,,4,,,,9,,,1,14
26145,,1,,,,3,,,,4
26147,,3,,,,,,,,3
26149,,2,,,,,,,,2
26151,,2,,,,,,,,2
26153,,,,,,1,,,,1
26159,,5,,,,3,,,,8
26161,,8,,,,7,,,,15
26163,,10,,,,7,,,2,19
27003,,1,,,,6,,,1,8
27005,,1,,,,,,,,1
27007,,1,,,,,,,,1
27009,,1,,,,,,,,1
27013,,1,,,,,,,,1
27017,,,,,,1,,,,1
27019,,,,,,2,,,,2
27023,,,,,,1,,,,1
27027,,,,,,1,,,,1
27031,,1,,,,,,,,1
27035,,1,,,,3,,,,4
27037,,3,,,,2,,,,5
27039,,,,1,,,,,,1
27045,,,,,,1,,,,1
27049,,1,,,,,,,,1
27051,,,,,,1,,,,1
27053,,10,,,,18,,1,1,30
27061,,,,,,1,,,,1
27067,,,,,,2,,,,2
27069,,,,,,1,,,,1
27071,,1,,,,,,,,1
27075,,,,,,1,,,,1
27079,,,,,,1,,,,1
27081,,,,,,1,,,,1
27083,,,,,,1,,,,1
27097,,,,,,1,,,,1
27103,,,,,,1,,,,1
27109,,2,,,,2,,,,4
27111,,1,,,,1,,,,2
27115,,,,,,1,,,,1
27123,,4,,2,,10,,,1,17
27131,,1,,,,1,,,,2
27133,,,,,,1,,,,1
27137,,5,,,,2,,,1,8
27139,,1,,,,5,,,,6
27145,,1,,,,1,,,1,3
27163,,1,,,,3,,1,,5
27169,,,,,,1,,,,1
27171,,,,,,2,,,,2
28001,,,,,,1,,,,1
28017,,,,,,1,,,,1
28035,,,,,,1,,,,1
28045,,,,,,1,,,,1
28047,,,,,,2,,,,2
28049,,,,,,1,,,,1
28059,,,,,,1,,,,1
28067,,,,,,1,,,,1
28075,,,,1,,,,,,1
28149,,1,,,,,,,,1
28161,,,,,,1,,,,1
29019,,1,,,,1,,,,2
29023,,1,,,,,,,,1
29025,,,,,,1,,,,1
29031,,1,,,,,,,,1
29047,,3,,,,1,,,,4
29051,,1,,,,,,,,1
29071,,2,,,,,,,,2
29073,,1,,,,,,,,1
29077,,2,,,,3,,,,5
29091,,,,,,1,,,,1
29095,,4,,,,11,,,1,16
29099,,1,,,,,,,,1
29107,,1,,,,,,,,1
29127,,1,,,,,,,,1
29145,,,,,,,,1,,1
29157,,1,,,,,,,,1
29165,,1,,,,1,,,,2
29183,,3,,,,,,,,3
29189,,4,,1,,3,,,,8
29215,,,,,,1,,,,1
29510,,6,,2,1,3,,1,3,16
30001,,,,,,1,,,,1
30009,,,,,,1,,,,1
30013,,2,,,,2,,,,4
30017,,,,,,1,,,,1
30021,,,,,,1,,,,1
30023,,,,,,2,,,,2
30029,,1,,,,3,,,,4
30031,,5,,,,5,,,,10
30035,,,,,,1,,,,1
30039,,,,,,1,,,,1
30041,,,,,,2,,,,2
30047,,,,,,1,,,,1
30049,,,,,,1,,,,1
30053,,1,,,,,,,,1
30059,,,,,,1,,,,1
30063,,1,,,,5,,,1,7
30081,,1,,,,2,,,,3
30083,,1,,,,,,,,1
30085,,,,,,1,,,,1
30091,,,,,,1,,,,1
30093,,,,,,3,,,,3
30105,,,,,,1,,,,1
30107,,,,,,1,,,,1
30111,,2,,,,4,,,,6
31001,,,,,,2,,,,2
31019,,1,,,,,,,,1
31031,,,,,,1,,,,1
31035,,1,,,,,,,,1
31055,,6,,,,3,,,,9
31079,,,,,,1,,,,1
31089,,1,,,,,,,,1
31109,,4,,,,3,,,,7
31111,,1,,,,,,,,1
31119,,1,,,,,,,,1
31137,,,,,,1,,,,1
31141,,1,,,,,,,,1
31153,,,,,,1,,,,1
31159,,,,,,1,,,,1
31175,,,,,,1,,,,1
31179,,,,,,1,,,,1
32003,,4,,,,3,,,,7
32007,1,,,,,,,,,1
32023,,1,,,,,,,,1
32029,,1,,,,,,,,1
32031,,9,,,,8,,,,17
32510,,1,,,,,,,,1
33001,,1,,,,,,,,1
33003,,4,,,,1,,,,5
33005,,,,,,4,,,,4
33009,,1,,,,5,,,,6
33011,,3,,,1,4,,,,8
33013,,,,,,7,,,,7
33015,,2,,,,3,,,2,7
33017,,2,,,,1,,,,3
33019,,,,,,1,,,,1
34001,,,,,,4,,,,4
34003,,,,1,,1,,,,2
34005,,,,,,6,,,,6
34007,,1,,,,5,,,1,7
34009,,1,,,,3,,,,4
34011,,,,,,1,,,,1
34013,,1,,1,,1,,,,3
34015,,,,,,4,,,,4
34017,,,,,,1,,,,1
34019,,2,,,,1,,,,3
34021,,,,,,2,,,,2
34023,,2,,,,1,,,,3
34025,,1,,,,7,,,,8
34027,,1,,,,,,,,1
34029,,1,,,,1,,,,2
34037,,1,,,,,,,,1
34039,,1,,,,3,,,,4
34041,,,,,,2,,,,2
35001,,9,,,,13,,,1,23
35007,,2,,,,1,,,,3
35013,,3,,1,,,,,,4
35015,,2,,,,1,,,,3
35017,,1,,,,,,,,1
35021,,,,,,1,,,,1
35025,,1,,,,,,,,1
35028,,,,,,1,,,,1
35041,,1,,,,,,,,1
35043,,4,,,,,,,,4
35045,,1,,,,,,1,,2
35049,,4,,,,1,,,1,6
35055,,2,,,,,,,,2
36001,,,,,,2,,,,2
36005,,,,,,3,,,,3
36007,,,,,,2,,,,2
36009,,,,,,1,,,,1
36011,,1,,,,1,,,,2
36013,,,,,,1,,,,1
36015,,,,,,1,,,,1
36017,,1,,,,,,,,1
36019,,1,,,,,,,,1
36021,,,,,,2,,,,2
36023,,,,,,1,,,,1
36027,,4,,,,4,,,,8
36029,,10,,1,,6,,,,17
36031,,4,,,,1,,,,5
36033,,1,,,,1,,,,2
36037,,1,,,,,,,,1
36039,,1,,,,2,,,,3
36043,,,,,,1,,,,1
36045,,1,,,,2,,,,3
36047,,6,,2,,7,,,2,17
36049,,,,,,,,1,,1
36053,,1,,,,5,,,,6
36055,,7,,1,,7,,1,1,17
36059,,,,,,5,,,,5
36061,,,,2,,,,,,2
36063,,3,,,,,,,,3
36065,,1,,,,2,,,1,4
36067,,2,,,1,6,,1,,10
36069,,2,,,,6,,,,8
36071,,1,,,,6,,,,7
36075,,1,,,,,,,,1
36077,,1,,,,1,,1,1,4
36079,,1,,,,,,,,1
36081,,1,,,,6,,1,,8
36083,,2,,,,2,,,,4
36085,,,,,,3,,,,3
36087,,2,,,,1,,,,3
36089,,,,,,2,,,,2
36091,,,,,,1,,,,1
36093,,1,,,,2,,,,3
36095,,,,,,1,,,,1
36097,,2,,,,1,,,,3
36099,,,,,,2,,,,2
36101,,2,,,,3,,,,5
36103,,4,,,2,11,,1,,18
36105,,,,,,1,,,,1
36107,,,,,,1,,,,1
36109,,2,,,,2,,,,4
36111,,4,,1,,3,,,,8
36113,,1,,,,3,,,,4
36115,,1,,,,2,,,,3
36119,,2,,,,5,,,1,8
36121,,1,,,,1,,,,2
36123,,,,,,1,,,,1
37001,,,,1,,1,,,,2
37009,,1,,,,,,,,1
37011,,,,,,2,,,,2
37019,,,,,,2,,,,2
37021,,9,,,3,12,,1,1,26
37023,,,,,,1,,,1,2
37025,,,,,,3,,,,3
37027,,2,,,,,,,,2
37031,,1,,,,3,,,,4
37035,,,,,,2,,,,2
37037,,,,,,1,,,,1
37039,,2,,,,1,,,,3
37045,,,,,,1,,,,1
37051,,3,,,,1,,,,4
37053,,,,,,1,,,,1
37055,,2,,,,,,,,2
37063,,1,,,,2,,1,,4
37065,,,,,,1,,,,1
37067,,3,,,,2,,,1,6
37069,,,,,,1,,,,1
37071,,1,,,,1,,,,2
37081,,3,,,,5,,,1,9
37085,,,,,,1,,,,1
37087,,1,,,,2,,,,3
37089,,1,,,,2,,,,3
37091,,1,,,,,,,,1
37095,,1,,,,,,,,1
37097,,,,,,1,,,,1
37099,,1,,,,1,,,,2
37103,,,,,,1,,,,1
37105,,,,,,1,,,,1
37113,,,,,,3,,,,3
37115,,1,,,,,,,,1
37119,,4,,,,12,,,2,18
37121,,1,,,,,,,,1
37127,,,,,,1,,,,1
37129,,4,,,,8,,,,12
37135,,3,,,,,,,,3
37137,,,,,,1,,,,1
37139,,,,,,1,,,,1
37145,,,,,,1,,,,1
37147,,,,,,3,,,,3
37151,,,,,,1,,,,1
37159,,1,,,,1,,,,2
37161,,,,,,1,,,,1
37171,,,,,,3,,,,3
37173,,,,,,2,,,,2
37175,,,,,,1,,,1,2
37179,,1,,,,1,,,,2
37183,,3,,,,23,,,2,28
37189,,1,,,,2,,,,3
37195,,,,,,1,,,,1
38015,,1,,,,1,,,,2
38017,,1,,,,1,,,,2
38035,,2,,,,,,,,2
38059,,,,,,2,,,,2
38101,,1,,,,,,,,1
39005,,1,,,,,,,,1
39007,,1,,,,,,,,1
39009,,1,,,,4,,,,5
39015,,,,,,1,,,,1
39017,,1,,,1,5,,,,7
39023,,,,,,2,,,,2
39025,,1,,,,1,,,,2
39027,,,,,,1,,,,1
39029,,1,,,,1,,,,2
39031,,,,,,2,,,,2
39035,,19,,3,,12,,,2,36
39039,,2,,,,,,,,2
39041,,1,,,,2,,,,3
39045,,,,,,1,,,,1
39049,,8,,1,1,12,,,1,23
39057,,,,,,1,,,,1
39061,,7,,,,17,,,5,29
39063,,,,,,1,,,,1
39069,,,,,,1,,,,1
39073,,,,,,1,,,,1
39075,,1,,,,,,,,1
39079,,,,,,1,,,,1
39085,,4,,,,2,,,,6
39089,,1,,,,6,,,,7
39091,,,,,,1,,,,1
39093,,,,,,3,,,,3
39095,,2,,,,4,,,,6
39099,,1,,,,1,,,,2
39101,,1,,,,,,,,1
39103,,2,,,,1,,,,3
39105,,,,,,1,,,,1
39107,,1,,,,2,,,,3
39113,,6,,,,5,,,,11
39119,,,,,,1,,,,1
39123,,2,,,,,,,,2
39133,,,,,,1,,,,1
39139,,,,,,1,,,,1
39151,,4,,,,4,,,,8
39153,,5,,,,10,,,,15
39155,,,,,,1,,,,1
39165,,1,,,,1,,,,2
39167,,1,,,,,,,,1
39169,,,,,,1,,,,1
39171,,1,,,,,,,,1
39173,,,,,,1,,,,1
40013,,1,,,,,,,,1
40017,,,,,,1,,,,1
40027,,1,,,,2,,,,3
40071,,,,,,1,,,,1
40109,,1,,2,,5,,,,8
40119,,,,,,1,,,,1
40143,,,,2,,8,,,,10
41001,,,,,,2,,,,2
41003,,5,,,,2,,,,7
41005,,6,,,,4,,,1,11
41007,,4,,,,4,,,1,9
41011,,2,,,,,,,,2
41013,,,,,,1,,,,1
41015,,,,,,2,,,,2
41017,,6,,,1,5,,,1,13
41019,,1,,,,3,,,,4
41023,,1,,,,,,,,1
41025,,,,,,1,,,,1
41027,,1,,,,1,,,2,4
41029,,3,,1,,5,,,,9
41033,,5,,,,,,,,5
41035,,2,,,,,,,,2
41039,,4,,,2,4,,,1,11
41041,,3,,,,,,,,3
41043,,2,,,,,,,,2
41045,,1,,,,1,,,,2
41047,,2,,,,6,,,,8
41051,,27,,2,1,37,,1,3,71
41057,,,,,,3,,,1,4
41059,,2,,,,1,,,,3
41063,,,,,,1,,,,1
41067,,9,,,,7,,,,16
41071,,1,,,,4,,,,5
42003,,6,,2,,21,,,,29
42007,,2,,,,1,,,,3
42009,,,,,,1,,,,1
42011,,3,,,,1,,,,4
42015,,1,,,,,,,,1
42017,,2,,,,2,,1,1,6
42019,,4,,,,2,,,,6
42021,,,,,,1,,,,1
42027,,2,,,,,,,,2
42029,,7,,,,1,,,,8
42031,,1,,,,,,,,1
42037,,2,,,,,,,,2
42039,,5,,,,,,,,5
42041,,1,,,,2,,,,3
42043,,5,,,,1,,,,6
42045,,2,,,,,,,,2
42047,,,,,,,,,1,1
42049,,3,,,,2,,,,5
42051,,,,,,1,,,,1
42055,,1,,,,,,,,1
42069,,1,,,,,,,,1
42071,,10,,,,5,,,,15
42073,,1,,,,,,,,1
42075,,2,,,,,,,,2
42077,,2,,,,4,,,,6
42079,,1,,1,,2,,,1,5
42081,,3,,,,1,,,,4
42085,,3,,,,2,,,,5
42089,,2,,,,,,,,2
42091,,8,,,,1,,,1,10
42093,,1,,,,1,,,,2
42095,,2,,,,3,,,,5
42097,,,,,,1,,,,1
42101,,9,,,,7,,,1,17
42107,,,,,,,,,2,2
42109,,1,,,,,,,,1
42111,,,,,,1,,,,1
42115,,,,,,1,,,,1
42117,,1,,,,,,,,1
42125,,1,,,,1,,,,2
42127,,3,,,,1,,,,4
42129,,1,,,,3,,,1,5
42133,,5,,,,6,,,,11
44003,,,,,,1,,,,1
44005,,1,,,,1,,,,2
44007,,2,,,,2,,1,1,6
44009,,,,,,5,,,,5
45003,,1,,,,,,,,1
45013,,1,,,,1,,,,2
45019,,1,,1,,10,,,,12
45041,,1,,,,,,,,1
45045,,2,,,,4,,,,6
45047,,1,,,,,,,,1
45051,,2,,,,1,,,,3
45063,,2,,,,,,,,2
45073,,,,,,1,,,,1
45079,,3,,,,2,,,,5
45083,,2,,,,,,,,2
45091,,1,,,,1,,,,2
46011,,1,,,,1,,,,2
46033,,1,,,,,,,,1
46081,,,,,,2,,,,2
46093,,1,,,,,,,,1
46099,,2,,,,1,,,,3
46103,,1,,,,1,,,,2
47001,,1,,,,,,,,1
47009,,,,,,1,,,,1
47031,,,,,,1,,,,1
47037,,3,,1,,13,,,1,18
47065,,4,,,,3,,,,7
47079,,,,,,1,,,,1
47093,,7,,,,6,,,,13
47119,,,,,,1,,,,1
47125,,2,,,,,,,,2
